Back,Back
Delete,Delete
"Are you sure you want to delete this quote?","Are you sure you want to delete this quote?"
"Save Request Quote","Save Request Quote"
"Get Quote","Get Quote"
"The quote has been deleted.","The quote has been deleted."
"This quote no longer exists.","This quote no longer exists."
"Edit Request Quote","Edit Request Quote"
"New Request Quote","New Request Quote"
"Request Quotes","Request Quotes"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the request quote.","You saved the request quote."
"Something went wrong while saving the quote.","Something went wrong while saving the quote."
"Request quote form submitted for %1","Request quote form submitted for %1"
"An error occurred while processing your request.","An error occurred while processing your request."
"My Quotes","My Quotes"
"Please log in to view your quotes.","Please log in to view your quotes."
"No quote specified.","No quote specified."
"Quote Details","Quote Details"
"Unable to send email.","Unable to send email."
Pending,Pending
Approved,Approved
Declined,Declined
Completed,Completed
"RequestQuote with ID ""%1"" does not exist.","RequestQuote with ID ""%1"" does not exist."
"The request quote with the ""%1"" ID doesn't exist.","The request quote with the ""%1"" ID doesn't exist."
Edit,Edit
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
Unknown,Unknown
"No Image","No Image"
"Product Name","Product Name"
Date,Date
Comments,Comments
Status,Status
Actions,Actions
"View Details","View Details"
"You have no quotes.","You have no quotes."
Status:,Status:
Date:,Date:
Comments:,Comments:
"Back to My Quotes","Back to My Quotes"
Name,Name
Email,Email
"Phone Number","Phone Number"
Submit,Submit
Cancel,Cancel
"Your Request has been submitted successfully.","Your Request has been submitted successfully."
"Product Request Quote for %product_name from %customer_name","Product Request Quote for %product_name from %customer_name"
"Conceptive Commerce","Conceptive Commerce"
"Request Quote","Request Quote"
"General Configuration","General Configuration"
Enable,Enable
"Quote Button Text","Quote Button Text"
"Send Email to Admin","Send Email to Admin"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Custom Request Quote Button Code","Custom Request Quote Button Code"
"Request Quote Information","Request Quote Information"
ID,ID
"Product ID","Product ID"
"Customer ID","Customer ID"
"Customer Name","Customer Name"
"Add New Quote","Add New Quote"
"Delete Quotes","Delete Quotes"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Thumbnail,Thumbnail
"Created At","Created At"
"Updated At","Updated At"
